object,defect,defect_synonym,img_path,base_img_path,full_prompt
transistor,general,"Cracked Epoxy Case: The black plastic body features a visible hairline fracture or deep split running across its surface, potentially exposing the internal silicon die.",transistor/test/general/general_0000.png,transistor/train/good/001.png,"This is an intact transistor image. Please generate a damaged transistor image based on this image. The description of the damaged transistor is as follows: Cracked Epoxy Case: The black plastic body features a visible hairline fracture or deep split running across its surface, potentially exposing the internal silicon die."
transistor,general,"Bent or Shorted Leads: The three silver metal legs are twisted out of alignment, with one leg bent sharply enough to touch a neighboring lead, creating an unintended electrical short.",transistor/test/general/general_0001.png,transistor/train/good/003.png,"This is an intact transistor image. Please generate a damaged transistor image based on this image. The description of the damaged transistor is as follows: Bent or Shorted Leads: The three silver metal legs are twisted out of alignment, with one leg bent sharply enough to touch a neighboring lead, creating an unintended electrical short."
cable,general,"Cut Outer Sheath: The white outer protective layer features a visible slice or split that penetrates the surface, partially revealing the colored inner wires underneath.",cable/test/general/general_0000.png,cable/train/good/001.png,"This is an intact cable image. Please generate a damaged cable image based on this image. The description of the damaged cable is as follows: Please generate an image showing a deep gash in the outer casing based on this image. Cut Outer Sheath: The white outer protective layer features a visible slice or split that penetrates the surface, partially revealing the colored inner wires underneath."
cable,general,"Exposed Conductor: The colored insulation (blue, brown, or yellow-green) is missing or stripped away in a section, leaving the bright copper wire strands completely visible and unprotected.",cable/test/general/general_0001.png,cable/train/good/003.png,"This is an intact cable image. Please generate a damaged cable image based on this image. The description of the damaged cable is as follows: Please generate an image showing bare metallic wires based on this image. Exposed Conductor: The colored insulation (blue, brown, or yellow-green) is missing or stripped away in a section, leaving the bright copper wire strands completely visible and unprotected."
cable,general,"Melted Insulation: The insulation layers appear warped, shiny, and globular, losing their distinct circular shapes and potentially fusing together due to exposure to high heat.",cable/test/general/general_0002.png,cable/train/good/005.png,"This is an intact cable image. Please generate a damaged cable image based on this image. The description of the damaged cable is as follows: Please generate an image showing deformed, oozing plastic based on this image. Melted Insulation: The insulation layers appear warped, shiny, and globular, losing their distinct circular shapes and potentially fusing together due to exposure to high heat."
cable,general,"Corroded Copper: The copper strands inside the insulation are no longer bright and shiny but appear dull, dark black, or covered in a green powdery oxidation residue.",cable/test/general/general_0003.png,cable/train/good/007.png,"This is an intact cable image. Please generate a damaged cable image based on this image. The description of the damaged cable is as follows: Please generate an image showing green or blackened metal strands based on this image. Corroded Copper: The copper strands inside the insulation are no longer bright and shiny but appear dull, dark black, or covered in a green powdery oxidation residue."
cable,general,"Crushed Profile: The overall circular cross-section of the cable is compressed into a flat or oblong shape, with the inner wires squeezed tightly against each other, distorting the outer white ring.",cable/test/general/general_0004.png,cable/train/good/009.png,"This is an intact cable image. Please generate a damaged cable image based on this image. The description of the damaged cable is as follows: Please generate an image showing a flattened, oval cable shape based on this image. Crushed Profile: The overall circular cross-section of the cable is compressed into a flat or oblong shape, with the inner wires squeezed tightly against each other, distorting the outer white ring."
cable,general,"Frayed Strands: The individual copper filaments within a conductor are no longer tightly bundled but are splayed outward, bent, or disorderly, resembling a messy brush.",cable/test/general/general_0005.png,cable/train/good/011.png,"This is an intact cable image. Please generate a damaged cable image based on this image. The description of the damaged cable is as follows: Please generate an image showing messy, untwisted wire strands based on this image. Frayed Strands: The individual copper filaments within a conductor are no longer tightly bundled but are splayed outward, bent, or disorderly, resembling a messy brush."
cable,general,"Charred Surface: The white outer sheath and inner insulation are blackened with carbon deposits and appear brittle or ash-like, indicating damage from an electrical fire or short circuit.",cable/test/general/general_0006.png,cable/train/good/013.png,"This is an intact cable image. Please generate a damaged cable image based on this image. The description of the damaged cable is as follows: Please generate an image showing blackened, soot-covered surfaces based on this image. Charred Surface: The white outer sheath and inner insulation are blackened with carbon deposits and appear brittle or ash-like, indicating damage from an electrical fire or short circuit."
cable,general,"Cracked Insulation: The outer white sheath shows a network of fine cracks or splits running along its length, suggesting the material has become brittle from aging or UV exposure.",cable/test/general/general_0007.png,cable/train/good/015.png,"This is an intact cable image. Please generate a damaged cable image based on this image. The description of the damaged cable is as follows: Please generate an image showing dry, fissure-covered plastic based on this image. Cracked Insulation: The outer white sheath shows a network of fine cracks or splits running along its length, suggesting the material has become brittle from aging or UV exposure."
cable,general,"Rodent Damage: The cable surface looks rough and jagged with irregular chunks of plastic missing from the insulation, resembling the distinct marks left by animal chewing.",cable/test/general/general_0008.png,cable/train/good/017.png,"This is an intact cable image. Please generate a damaged cable image based on this image. The description of the damaged cable is as follows: Please generate an image showing ragged, bitten edges based on this image. Rodent Damage: The cable surface looks rough and jagged with irregular chunks of plastic missing from the insulation, resembling the distinct marks left by animal chewing."
cable,general,"Kinked Cable: The cable is bent at a sharp angle that causes the outer sheath to buckle and crease, pinching the internal wires and deforming the smooth exterior line.",cable/test/general/general_0009.png,cable/train/good/020.png,"This is an intact cable image. Please generate a damaged cable image based on this image. The description of the damaged cable is as follows: Please generate an image showing a sharp, collapsed bend based on this image. Kinked Cable: The cable is bent at a sharp angle that causes the outer sheath to buckle and crease, pinching the internal wires and deforming the smooth exterior line."
cable,general,"Cut Outer Sheath: The white outer protective layer features a visible slice or split that penetrates the surface, partially revealing the colored inner wires underneath.",cable/test/general/general_0010.png,cable/train/good/022.png,"This is an intact cable image. Please generate a damaged cable image based on this image. The description of the damaged cable is as follows: Please generate an image showing a deep gash in the outer casing based on this image. Cut Outer Sheath: The white outer protective layer features a visible slice or split that penetrates the surface, partially revealing the colored inner wires underneath."
cable,general,"Exposed Conductor: The colored insulation (blue, brown, or yellow-green) is missing or stripped away in a section, leaving the bright copper wire strands completely visible and unprotected.",cable/test/general/general_0011.png,cable/train/good/024.png,"This is an intact cable image. Please generate a damaged cable image based on this image. The description of the damaged cable is as follows: Please generate an image showing bare metallic wires based on this image. Exposed Conductor: The colored insulation (blue, brown, or yellow-green) is missing or stripped away in a section, leaving the bright copper wire strands completely visible and unprotected."
