object,defect,defect_synonym,img_path,base_img_path,full_prompt
candle,general,"Cracked Wax Surface: The smooth cream-colored wax top features a jagged fissure running from the edge toward the center wick hole, exposing a darker interior layer where the material has split under thermal stress.",candle/test/general/general_0000.png,candle/Data/Images/Normal/0000.JPG,"This is an intact candle image. Please generate a damaged candle image based on this image. The description of the damaged candle is as follows: Cracked Wax Surface: The smooth cream-colored wax top features a jagged fissure running from the edge toward the center wick hole, exposing a darker interior layer where the material has split under thermal stress."
candle,general,"Sunken Wick Well: The circular depression surrounding the wick appears excessively deep and irregular, with the wax collapsing inward to create an uneven crater that disrupts the flat top surface.",candle/test/general/general_0001.png,candle/Data/Images/Normal/0002.JPG,"This is an intact candle image. Please generate a damaged candle image based on this image. The description of the damaged candle is as follows: Sunken Wick Well: The circular depression surrounding the wick appears excessively deep and irregular, with the wax collapsing inward to create an uneven crater that disrupts the flat top surface."
candle,general,"Color Discoloration: An irregular patch of the wax surface has turned yellowish-brown or grey, contrasting sharply with the uniform cream color of the surrounding area due to heat exposure or chemical contamination.",candle/test/general/general_0002.png,candle/Data/Images/Normal/0004.JPG,"This is an intact candle image. Please generate a damaged candle image based on this image. The description of the damaged candle is as follows: Color Discoloration: An irregular patch of the wax surface has turned yellowish-brown or grey, contrasting sharply with the uniform cream color of the surrounding area due to heat exposure or chemical contamination."
candle,general,"Chipped Edge: The clean circular perimeter of the candle is interrupted by a rough, irregular chunk missing from the rim, revealing the inner wax structure with sharp, jagged edges.",candle/test/general/general_0004.png,candle/Data/Images/Normal/0000.JPG,"This is an intact candle image. Please generate a damaged candle image based on this image. The description of the damaged candle is as follows: Chipped Edge: The clean circular perimeter of the candle is interrupted by a rough, irregular chunk missing from the rim, revealing the inner wax structure with sharp, jagged edges."
candle,general,"Melted Deformation: A section of the candle top appears glossy and distorted, with the wax sagging or flowing out of its intended flat circular shape due to partial melting from heat.",candle/test/general/general_0005.png,candle/Data/Images/Normal/0002.JPG,"This is an intact candle image. Please generate a damaged candle image based on this image. The description of the damaged candle is as follows: Melted Deformation: A section of the candle top appears glossy and distorted, with the wax sagging or flowing out of its intended flat circular shape due to partial melting from heat."
candle,general,"Embedded Debris: A visible foreign particle such as a dark fiber, hair, or dirt speck is embedded in the smooth wax surface, contrasting with the pristine cream color.",candle/test/general/general_0006.png,candle/Data/Images/Normal/0004.JPG,"This is an intact candle image. Please generate a damaged candle image based on this image. The description of the damaged candle is as follows: Embedded Debris: A visible foreign particle such as a dark fiber, hair, or dirt speck is embedded in the smooth wax surface, contrasting with the pristine cream color."
candle,general,"Wick Damage: The central fabric wick is frayed, broken off at the base, or completely missing from its anchoring hole, leaving an empty void or torn fiber ends.",candle/test/general/general_0007.png,candle/Data/Images/Normal/0006.JPG,"This is an intact candle image. Please generate a damaged candle image based on this image. The description of the damaged candle is as follows: Wick Damage: The central fabric wick is frayed, broken off at the base, or completely missing from its anchoring hole, leaving an empty void or torn fiber ends."
candle,general,"Surface Scratches: Deep, linear grooves cut across the smooth wax top, disrupting the uniform texture where the material has been scraped or gouged by a sharp object.",candle/test/general/general_0008.png,candle/Data/Images/Normal/0008.JPG,"This is an intact candle image. Please generate a damaged candle image based on this image. The description of the damaged candle is as follows: Surface Scratches: Deep, linear grooves cut across the smooth wax top, disrupting the uniform texture where the material has been scraped or gouged by a sharp object."
candle,general,"Mold Contamination: Small, dark green or black fuzzy spots appear scattered across the wax surface, indicating fungal growth from moisture exposure in storage.",candle/test/general/general_0009.png,candle/Data/Images/Normal/0010.JPG,"This is an intact candle image. Please generate a damaged candle image based on this image. The description of the damaged candle is as follows: Mold Contamination: Small, dark green or black fuzzy spots appear scattered across the wax surface, indicating fungal growth from moisture exposure in storage."
candle,general,"Cracked Wax Surface: The smooth cream-colored wax top features a jagged fissure running from the edge toward the center wick hole, exposing a darker interior layer where the material has split under thermal stress.",candle/test/general/general_0010.png,candle/Data/Images/Normal/0012.JPG,"This is an intact candle image. Please generate a damaged candle image based on this image. The description of the damaged candle is as follows: Cracked Wax Surface: The smooth cream-colored wax top features a jagged fissure running from the edge toward the center wick hole, exposing a darker interior layer where the material has split under thermal stress."
